13 
3 
4
2
10 7
4 5 4
1 2 3 4 
5 6 7 8 9 
10 11 12 13 
1 2 5
2 1 1
3 1 4
999999.00 1.6600 5.0772 6.5191 8.8339 5.5302 4.1044 0.7543 1.2912 3.1523 1.2814 5.0757 3.1152 3.9379
1.6600 999999.00 4.0883 6.0159 9.1966 5.7596 4.7599 1.9888 2.9449 4.4044 2.9406 5.1793 3.9849 3.6217
5.0772 4.0883 999999.00 2.4452 6.9649 3.9960 4.4961 4.7344 6.1473 8.2230 6.0083 3.3686 4.6401 2.0100
6.5191 6.0159 2.4452 999999.00 4.8003 2.7082 4.1242 5.9550 7.2916 9.5978 7.1007 2.3844 4.7977 2.5850
8.8339 9.1966 6.9649 4.8003 999999.00 3.4422 4.7651 8.0860 8.9311 11.2146 8.7011 4.0604 5.8210 5.8014
5.5302 5.7596 3.9960 2.7082 3.4422 999999.00 1.8116 4.8060 5.8531 8.2151 5.6294 0.6648 2.8062 2.4286
4.1044 4.7599 4.4961 4.1242 4.7651 1.8116 999999.00 3.3505 4.1855 6.5136 3.9564 1.7741 1.0657 2.4991
0.7543 1.9888 4.7344 5.9550 8.0860 4.8060 3.3505 999999.00 1.4135 3.6430 1.2794 4.3763 2.3643 3.3734
1.2912 2.9449 6.1473 7.2916 8.9311 5.8531 4.1855 1.4135 999999.00 2.3686 0.2300 5.5184 3.1200 4.7300
3.1523 4.4044 8.2230 9.5978 11.2146 8.2151 6.5136 3.6430 2.3686 999999.00 2.5881 7.8868 5.4507 7.0162
1.2814 2.9406 6.0083 7.1007 8.7011 5.6294 3.9564 1.2794 0.2300 2.5881 999999.00 5.3013 2.8908 4.5478
5.0757 5.1793 3.3686 2.3844 4.0604 0.6648 1.7741 4.3763 5.5184 7.8868 5.3013 999999.00 2.6122 1.7682
3.1152 3.9849 4.6401 4.7977 5.8210 2.8062 1.0657 2.3643 3.1200 5.4507 2.8908 2.6122 999999.00 2.6681
3.9379 3.6217 2.0100 2.5850 5.8014 2.4286 2.4991 3.3734 4.7300 7.0162 4.5478 1.7682 2.6681 999999.00

